DATE,CPALTT01USQ657N
1960-01-01,0.33889187876944425000
1961-01-01,0.16762970538977950000
1962-01-01,0.33174063144988750000
1963-01-01,0.35459956469918250000
1964-01-01,0.26925349403710550000
1965-01-01,0.45165964663307250000
1966-01-01,0.90682942281075550000
1967-01-01,0.67754264191875950000
1968-01-01,1.16307482906672800000
1969-01-01,1.4512815518879625
1970-01-01,1.3717110784570675
1971-01-01,0.85215031755521450000
1972-01-01,0.86349413541967350000
1973-01-01,2.0036272426535850
1974-01-01,2.9197701969386875
1975-01-01,1.7652876537808125
1976-01-01,1.24420158562072400000
1977-01-01,1.6127705009633025
1978-01-01,2.1651768353707050
1979-01-01,3.0258784100279725
1980-01-01,3.0244536103690325
1981-01-01,2.3073669178045825
1982-01-01,1.11282142720565400000
1983-01-01,0.81675321802992105000
1984-01-01,1.00625445737459250000
1985-01-01,0.86735695768951025000
1986-01-01,0.32021257767321750000
1987-01-01,1.10634710329838000000
1988-01-01,1.05972554687834425000
1989-01-01,1.13076525982064775000
1990-01-01,1.5212619209700650
1991-01-01,0.73973354457916950000
1992-01-01,0.75396960987105625000
1993-01-01,0.67452466440799050000
1994-01-01,0.65677016118172000000
1995-01-01,0.65644016297751625000
1996-01-01,0.78831500477256325000
1997-01-01,0.46475141275744000000
1998-01-01,0.38489634782364900000
1999-01-01,0.64948771242174850000
2000-01-01,0.84618125548138900000
2001-01-01,0.46281983720721775000
2002-01-01,0.54602990374607150000
2003-01-01,0.47108417921691077500
2004-01-01,0.82127501046242925000
2005-01-01,0.92279343554489650000
2006-01-01,0.48490672914489025000
2007-01-01,0.98091068504452300000
2008-01-01,0.41666105374047500000
2009-01-01,0.36073245813363550000
2010-01-01,0.31616350609446450000
2011-01-01,0.81614887028141250000
2012-01-01,0.46963475289523220000
2013-01-01,0.30755554570877475000
2014-01-01,0.31335360781657650000
2015-01-01,0.11880758218587500000
2016-01-01,0.44806019014768130000
2017-01-01,0.52537499909438600000
